index,mnist_index,mnist_label,clean_path,gaussian_blur_path,salt_pepper_path,speckle_path
0,317,2,D:\bennett\computer vision\lab2\data\clean\000.png,D:\bennett\computer vision\lab2\data\gaussian_blur\000.png,D:\bennett\computer vision\lab2\data\salt_pepper\000.png,D:\bennett\computer vision\lab2\data\speckle\000.png
1,390,2,D:\bennett\computer vision\lab2\data\clean\001.png,D:\bennett\computer vision\lab2\data\gaussian_blur\001.png,D:\bennett\computer vision\lab2\data\salt_pepper\001.png,D:\bennett\computer vision\lab2\data\speckle\001.png
2,438,4,D:\bennett\computer vision\lab2\data\clean\002.png,D:\bennett\computer vision\lab2\data\gaussian_blur\002.png,D:\bennett\computer vision\lab2\data\salt_pepper\002.png,D:\bennett\computer vision\lab2\data\speckle\002.png
3,593,1,D:\bennett\computer vision\lab2\data\clean\003.png,D:\bennett\computer vision\lab2\data\gaussian_blur\003.png,D:\bennett\computer vision\lab2\data\salt_pepper\003.png,D:\bennett\computer vision\lab2\data\speckle\003.png
4,834,4,D:\bennett\computer vision\lab2\data\clean\004.png,D:\bennett\computer vision\lab2\data\gaussian_blur\004.png,D:\bennett\computer vision\lab2\data\salt_pepper\004.png,D:\bennett\computer vision\lab2\data\speckle\004.png
5,1069,1,D:\bennett\computer vision\lab2\data\clean\005.png,D:\bennett\computer vision\lab2\data\gaussian_blur\005.png,D:\bennett\computer vision\lab2\data\salt_pepper\005.png,D:\bennett\computer vision\lab2\data\speckle\005.png
6,1076,0,D:\bennett\computer vision\lab2\data\clean\006.png,D:\bennett\computer vision\lab2\data\gaussian_blur\006.png,D:\bennett\computer vision\lab2\data\salt_pepper\006.png,D:\bennett\computer vision\lab2\data\speckle\006.png
7,1166,7,D:\bennett\computer vision\lab2\data\clean\007.png,D:\bennett\computer vision\lab2\data\gaussian_blur\007.png,D:\bennett\computer vision\lab2\data\salt_pepper\007.png,D:\bennett\computer vision\lab2\data\speckle\007.png
8,1292,9,D:\bennett\computer vision\lab2\data\clean\008.png,D:\bennett\computer vision\lab2\data\gaussian_blur\008.png,D:\bennett\computer vision\lab2\data\salt_pepper\008.png,D:\bennett\computer vision\lab2\data\speckle\008.png
9,1323,6,D:\bennett\computer vision\lab2\data\clean\009.png,D:\bennett\computer vision\lab2\data\gaussian_blur\009.png,D:\bennett\computer vision\lab2\data\salt_pepper\009.png,D:\bennett\computer vision\lab2\data\speckle\009.png
10,1355,9,D:\bennett\computer vision\lab2\data\clean\010.png,D:\bennett\computer vision\lab2\data\gaussian_blur\010.png,D:\bennett\computer vision\lab2\data\salt_pepper\010.png,D:\bennett\computer vision\lab2\data\speckle\010.png
11,1363,0,D:\bennett\computer vision\lab2\data\clean\011.png,D:\bennett\computer vision\lab2\data\gaussian_blur\011.png,D:\bennett\computer vision\lab2\data\salt_pepper\011.png,D:\bennett\computer vision\lab2\data\speckle\011.png
12,1490,5,D:\bennett\computer vision\lab2\data\clean\012.png,D:\bennett\computer vision\lab2\data\gaussian_blur\012.png,D:\bennett\computer vision\lab2\data\salt_pepper\012.png,D:\bennett\computer vision\lab2\data\speckle\012.png
13,1504,6,D:\bennett\computer vision\lab2\data\clean\013.png,D:\bennett\computer vision\lab2\data\gaussian_blur\013.png,D:\bennett\computer vision\lab2\data\salt_pepper\013.png,D:\bennett\computer vision\lab2\data\speckle\013.png
14,1837,0,D:\bennett\computer vision\lab2\data\clean\014.png,D:\bennett\computer vision\lab2\data\gaussian_blur\014.png,D:\bennett\computer vision\lab2\data\salt_pepper\014.png,D:\bennett\computer vision\lab2\data\speckle\014.png
15,1910,1,D:\bennett\computer vision\lab2\data\clean\015.png,D:\bennett\computer vision\lab2\data\gaussian_blur\015.png,D:\bennett\computer vision\lab2\data\salt_pepper\015.png,D:\bennett\computer vision\lab2\data\speckle\015.png
16,2069,4,D:\bennett\computer vision\lab2\data\clean\016.png,D:\bennett\computer vision\lab2\data\gaussian_blur\016.png,D:\bennett\computer vision\lab2\data\salt_pepper\016.png,D:\bennett\computer vision\lab2\data\speckle\016.png
17,2221,9,D:\bennett\computer vision\lab2\data\clean\017.png,D:\bennett\computer vision\lab2\data\gaussian_blur\017.png,D:\bennett\computer vision\lab2\data\salt_pepper\017.png,D:\bennett\computer vision\lab2\data\speckle\017.png
18,2238,7,D:\bennett\computer vision\lab2\data\clean\018.png,D:\bennett\computer vision\lab2\data\gaussian_blur\018.png,D:\bennett\computer vision\lab2\data\salt_pepper\018.png,D:\bennett\computer vision\lab2\data\speckle\018.png
19,2486,6,D:\bennett\computer vision\lab2\data\clean\019.png,D:\bennett\computer vision\lab2\data\gaussian_blur\019.png,D:\bennett\computer vision\lab2\data\salt_pepper\019.png,D:\bennett\computer vision\lab2\data\speckle\019.png
